,Plot,Moisture_class,Age1996,Age2010,Age1966,Aliens_max,firecount66_10,firecount66_96,firecount96_10
1,1,5,10,10,8,3,3,1,2
2,2,5,10,10,5,1,3,1,2
3,3,5,10,10,7,1,3,1,2
4,4,4,10,24,18,3,NA,NA,NA
5,8,5,10,3,3,3,2,1,1
6,9,5,10,24,3,2,1,1,0
7,10,5,10,24,2,0,2,1,1
8,12,4,10,3,3,1,2,1,1
9,13,3,10,24,5,1,1,1,0
10,14,2,10,5,3,2,3,2,1
11,15,4,10,3,3,3,2,1,1
12,16,3,10,3,3,2,2,1,1
13,17,2,10,3,3,2,3,2,1
14,18,2,10,24,3,0,2,2,0
15,19,5,5,3,17,3,NA,NA,NA
16,21,3,10,3,15,1,3,2,1
17,22,2,10,3,20,0,3,2,1
18,23,NA,NA,NA,15,2,NA,NA,NA
19,24,NA,NA,NA,4,2,NA,NA,NA
20,25,NA,NA,NA,30,3,NA,NA,NA
21,27,5,10,3,19,2,3,2,1
22,28,5,10,3,21,1,3,2,1
23,29,2,10,24,10,0,2,2,0
24,30,NA,NA,NA,18,1,NA,NA,NA
25,31,5,10,24,11,1,2,2,0
26,34,5,5,3,13,2,2,1,1
27,36,5,NA,NA,14,1,NA,NA,NA
28,37,2,10,3,25,0,3,2,1
29,38,3,10,3,12,1,3,2,1
30,39,5,10,24,21,1,2,2,0
31,40,5,10,24,11,1,2,2,0
32,42,5,NA,NA,1,3,NA,NA,NA
33,44,5,5,8,7,3,2,1,1
34,45,5,5,3,9,2,2,1,1
35,46,3,NA,3,15,1,NA,NA,NA
36,47,3,8,3,18,3,3,2,1
37,48,3,8,3,10,2,3,2,1
38,49,2,7,3,18,0,3,2,1
39,50,4,21,3,8,1,2,1,1
40,54,NA,NA,NA,14,1,NA,NA,NA
41,55,3,8,3,14,1,3,2,1
42,56,3,8,3,14,0,3,2,1
43,57,5,7,3,21,1,3,2,1
44,58,3,7,3,19,1,3,2,1
45,59,5,4,18,15,2,2,2,0
46,60,NA,NA,NA,40,0,NA,NA,NA
47,61,5,5,8,7,2,2,1,1
48,62,5,8,8,19,3,3,2,1
49,63,4,8,3,19,1,3,2,1
50,64,3,8,3,14,1,3,2,1
51,65,3,7,3,15,1,3,2,1
52,66,5,13,27,16,1,1,1,0
53,67,5,21,35,20,2,1,1,0
54,68,NA,NA,NA,3,3,NA,NA,NA
55,70,3,5,19,2,3,2,2,0
56,71,4,7,21,12,1,2,2,0
57,72,3,13,27,25,1,1,1,0
58,73,4,13,27,12,1,1,1,0
59,74,NA,NA,NA,20,3,NA,NA,NA
60,75,5,5,19,1,3,2,2,0
61,76,5,5,19,1,3,2,2,0
62,78,2,4,18,5,3,2,2,0
63,79,3,13,27,20,2,1,1,0
64,80,5,NA,NA,40,3,NA,NA,NA
65,81,NA,NA,NA,17,1,NA,NA,NA
66,82,4,5,19,1,1,2,2,0
67,83,3,5,19,10,2,2,2,0
68,84,NA,NA,NA,10,2,NA,NA,NA
69,86,NA,NA,NA,2,3,NA,NA,NA
70,87,NA,NA,NA,1,2,NA,NA,NA
71,88,5,5,19,10,3,2,2,0
72,89,5,NA,NA,15,3,NA,NA,NA
73,90,NA,NA,NA,30,3,NA,NA,NA
74,91,NA,NA,NA,20,3,NA,NA,NA
75,92,3,5,19,24,3,1,1,0
76,94,NA,NA,NA,17,3,NA,NA,NA
77,95,5,NA,NA,20,3,NA,NA,NA
78,97,NA,NA,NA,40,3,NA,NA,NA
79,98,NA,NA,NA,20,1,NA,NA,NA
80,99,5,NA,NA,1,2,NA,NA,NA
81,100,NA,NA,NA,40,3,NA,NA,NA
