,x
1,Acacia saligna
2,Adenocline pauciflora
3,Agapanthus walshii
4,Albuca flaccida
5,Albuca juncifolia
6,Annesorhiza altiscapa
7,Apium decumbens
8,Arctotheca calendula
9,Babiana ambigua
10,Babiana villosula
11,Bulbine lagopus
12,Chironia decumbens
13,Cotula turbinata
14,Cyphia linarioides
15,Dasispermum hispidum
16,Disa bracteata
17,Disa obliqua
18,Disa purpurascens
19,Dischisma ciliatum
20,Disperis capensis
21,Drimia capensis
22,Ehrharta calycina
23,Erepsia promontorii
24,Felicia tenella
25,Gazania pectinata
26,Geissorhiza juncea
27,Geissorhiza tenella
28,Glia prolifera
29,Gnidia simplex
30,Haemanthus coccineus
31,Harveya pauciflora
32,Helichrysum indicum
33,Helichrysum tinctum
34,Hyobanche sanguinea
35,Isolepis marginata
36,Itasina filifolia
37,Lobelia comosa
38,Manulea cheiranthus
39,Mesembryanthemum crystallinum
40,Moraea fugax
41,Moraea tripetala
42,Nemesia barbata
43,Osteospermum monstrosum
44,Oxalis versicolor
45,Pelargonium grossularioides
46,Pelargonium longifolium
47,Pharnaceum cordifolium
48,Pharnaceum elongatum
49,Pharnaceum lanuginosum
50,Polygala recognita
51,Polypogon strictus
52,Pteridium aquilinum
53,Roella decurrens
54,Satyrium odorum
55,Schizaea pectinata
56,Sebaea exacoides
57,Senecio burchellii
58,Senecio elegans
59,Tritoniopsis dodii
60,Wahlenbergia obovata
