,plot,date,year,SeasonYear
1,CP_1,01/02/1986,1986,Dry1987
2,CP_1,16/01/2000,2000,Dry2001
3,CP_1,25/01/2008,2008,Dry2009
4,CP_2,25/01/2008,2008,Dry2009
5,CP_2,01/02/1986,1986,Dry1987
6,CP_2,16/01/2000,2000,Dry2001
7,CP_3,01/02/1986,1986,Dry1987
8,CP_3,25/01/2008,2008,Dry2009
9,CP_3,16/01/2000,2000,Dry2001
10,CP_8,01/02/1986,1986,Dry1987
11,CP_8,05/04/2007,2007,Dry2008
12,CP_9,01/02/1986,1986,Dry1987
13,CP_10,01/02/1986,1986,Dry1987
14,CP_10,25/01/2008,2008,Dry2009
15,CP_12,01/02/1986,1986,Dry1987
16,CP_12,05/04/2007,2007,Dry2008
17,CP_13,01/02/1986,1986,Dry1987
18,CP_14,06/04/2005,2005,Dry2006
19,CP_14,01/01/1975,1975,Dry1976
20,CP_14,01/02/1986,1986,Dry1987
21,CP_15,01/02/1986,1986,Dry1987
22,CP_15,05/04/2007,2007,Dry2008
23,CP_16,05/04/2007,2007,Dry2008
24,CP_16,01/02/1986,1986,Dry1987
25,CP_17,01/01/1975,1975,Dry1976
26,CP_17,05/04/2007,2007,Dry2008
27,CP_17,01/02/1986,1986,Dry1987
28,CP_18,01/02/1986,1986,Dry1987
29,CP_18,01/01/1975,1975,Dry1976
30,CP_21,01/02/1986,1986,Dry1987
31,CP_21,05/04/2007,2007,Dry2008
32,CP_21,01/01/1977,1977,Dry1978
33,CP_22,01/01/1977,1977,Dry1978
34,CP_22,05/04/2007,2007,Dry2008
35,CP_22,01/02/1986,1986,Dry1987
36,CP_27,01/01/1977,1977,Dry1978
37,CP_27,01/02/1986,1986,Dry1987
38,CP_27,05/04/2007,2007,Dry2008
39,CP_28,01/02/1986,1986,Dry1987
40,CP_28,05/04/2007,2007,Dry2008
41,CP_28,01/01/1977,1977,Dry1978
42,CP_29,01/02/1986,1986,Dry1987
43,CP_29,01/01/1975,1975,Dry1976
44,CP_31,01/02/1986,1986,Dry1987
45,CP_31,01/01/1975,1975,Dry1976
46,CP_34,05/04/2007,2007,Dry2008
47,CP_34,25/01/1991,1991,Dry1992
48,CP_37,01/01/1977,1977,Dry1978
49,CP_37,01/02/1986,1986,Dry1987
50,CP_37,05/04/2007,2007,Dry2008
51,CP_38,03/04/2007,2007,Dry2008
52,CP_38,01/02/1986,1986,Dry1987
53,CP_38,01/01/1975,1975,Dry1976
54,CP_39,01/01/1975,1975,Dry1976
55,CP_39,01/02/1986,1986,Dry1987
56,CP_40,01/01/1975,1975,Dry1976
57,CP_40,01/02/1986,1986,Dry1987
58,CP_44,24/11/2002,2002,Dry2004
59,CP_44,25/01/1991,1991,Dry1992
60,CP_45,05/04/2007,2007,Dry2008
61,CP_45,25/01/1991,1991,Dry1992
62,CP_47,01/01/1977,1977,Dry1978
63,CP_47,22/12/1988,1988,Dry1990
64,CP_47,05/04/2007,2007,Dry2008
65,CP_48,01/01/1977,1977,Dry1978
66,CP_48,22/12/1988,1988,Dry1990
67,CP_48,05/04/2007,2007,Dry2008
68,CP_49,26/04/1989,1989,Dry1990
69,CP_49,03/04/2007,2007,Dry2008
70,CP_49,01/01/1975,1975,Dry1976
71,CP_50,01/01/1975,1975,Dry1976
72,CP_50,03/04/2007,2007,Dry2008
73,CP_55,22/12/1988,1988,Dry1990
74,CP_55,03/04/2007,2007,Dry2008
75,CP_55,01/01/1979,1979,Dry1980
76,CP_56,03/04/2007,2007,Dry2008
77,CP_56,01/01/1977,1977,Dry1978
78,CP_56,22/12/1988,1988,Dry1990
79,CP_57,01/01/1975,1975,Dry1976
80,CP_57,26/04/1989,1989,Dry1990
81,CP_57,03/04/2007,2007,Dry2008
82,CP_58,26/04/1989,1989,Dry1990
83,CP_58,01/01/1975,1975,Dry1976
84,CP_58,03/04/2007,2007,Dry2008
85,CP_59,04/01/1992,1992,Dry1993
86,CP_59,01/01/1975,1975,Dry1976
87,CP_61,24/11/2002,2002,Dry2004
88,CP_61,25/01/1991,1991,Dry1992
89,CP_62,24/11/2002,2002,Dry2004
90,CP_62,22/12/1988,1988,Dry1990
91,CP_62,01/01/1979,1979,Dry1980
92,CP_63,22/12/1988,1988,Dry1990
93,CP_63,03/04/2007,2007,Dry2008
94,CP_63,01/01/1979,1979,Dry1980
95,CP_64,01/01/1979,1979,Dry1980
96,CP_64,03/04/2007,2007,Dry2008
97,CP_64,22/12/1988,1988,Dry1990
98,CP_65,01/01/1983,1983,Dry1984
99,CP_65,26/04/1989,1989,Dry1990
100,CP_65,03/04/2007,2007,Dry2008
101,CP_66,01/01/1983,1983,Dry1984
102,CP_67,01/01/1975,1975,Dry1976
103,CP_70,25/01/1991,1991,Dry1992
104,CP_70,01/01/1981,1981,Dry1982
105,CP_71,03/02/1989,1989,Dry1990
106,CP_71,01/01/1981,1981,Dry1982
107,CP_72,01/01/1983,1983,Dry1984
108,CP_73,01/01/1983,1983,Dry1984
109,CP_75,25/01/1991,1991,Dry1992
110,CP_75,01/01/1979,1979,Dry1980
111,CP_76,01/01/1981,1981,Dry1982
112,CP_76,25/01/1991,1991,Dry1992
113,CP_78,24/03/1992,1992,Dry1993
114,CP_78,01/01/1983,1983,Dry1984
115,CP_79,01/01/1983,1983,Dry1984
116,CP_82,01/01/1981,1981,Dry1982
117,CP_82,25/01/1991,1991,Dry1992
118,CP_83,01/01/1981,1981,Dry1982
119,CP_83,25/01/1991,1991,Dry1992
120,CP_88,25/01/1991,1991,Dry1992
121,CP_88,01/01/1981,1981,Dry1982
122,CP_92,27/03/1991,1991,Dry1992
