,species,family_GM,resprout_postfire,herb,geophyte,graminoid,low_shrub,tall_shrub
17,Adenandra uniflora,RUTACEAE,0,0,0,0,1,0
18,Adenandra villosa,RUTACEAE,0,0,0,0,1,0
29,Agathosma bifida,RUTACEAE,1,0,0,0,1,0
31,Agathosma capensis,RUTACEAE,1,0,0,0,1,0
33,Agathosma ciliaris,RUTACEAE,0,0,0,0,1,0
37,Agathosma hookeri,RUTACEAE,1,0,0,0,1,0
38,Agathosma imbricata,RUTACEAE,1,0,0,0,1,0
40,Agathosma lanceolata,RUTACEAE,0,0,0,0,1,0
52,Agathosma serpyllacea,RUTACEAE,0,0,0,0,1,0
57,Aizoon paniculatum,AIZOACEAE,0,0,0,0,1,0
74,Amphithalea ericifolia,FABACEAE,1,0,0,0,1,0
81,Anaxeton laeve,ASTERACEAE,0,0,0,0,1,0
91,Anthochortus capensis,RESTIONACEAE,0,0,0,1,0,0
94,Anthochortus laxiflorus,RESTIONACEAE,0,0,0,1,0,0
95,Anthospermum aethiopicum,RUBIACEAE,0,0,0,0,0,1
96,Anthospermum bergianum,RUBIACEAE,0,0,0,0,1,0
97,Anthospermum galioides,RUBIACEAE,0,0,0,0,1,0
105,Arctotis acaulis,ASTERACEAE,0,1,0,0,0,0
107,Arctotis aspera,ASTERACEAE,0,1,0,0,0,0
109,Arctotis stoechadifolia,ASTERACEAE,0,1,0,0,0,0
114,Aristea africana,IRIDACEAE,1,0,1,0,0,0
117,Aristea capitata,IRIDACEAE,1,0,1,0,0,0
120,Aristea glauca,IRIDACEAE,1,0,1,0,0,0
132,Aspalathus abietina,FABACEAE,0,0,0,0,1,0
139,Aspalathus callosa,FABACEAE,0,0,0,0,1,0
140,Aspalathus capensis,FABACEAE,0,0,0,0,0,1
141,Aspalathus carnosa,FABACEAE,0,0,0,0,0,1
144,Aspalathus ciliaris,FABACEAE,0,0,0,0,0,1
148,Aspalathus divaricata,FABACEAE,0,0,0,0,1,0
149,Aspalathus ericifolia,FABACEAE,0,0,0,0,1,0
155,Aspalathus hispida,FABACEAE,0,0,0,0,1,0
162,Aspalathus laricifolia,FABACEAE,0,0,0,0,1,0
164,Aspalathus linguiloba,FABACEAE,1,0,0,0,1,0
165,Aspalathus microphylla,FABACEAE,1,0,0,0,1,0
170,Aspalathus retroflexa,FABACEAE,0,0,0,0,1,0
173,Aspalathus sericea,FABACEAE,0,0,0,0,1,0
174,Aspalathus serpens,FABACEAE,0,0,0,0,0,1
186,Asparagus capensis,ASPARAGACEAE,1,0,0,0,1,0
190,Asparagus lignosus,ASPARAGACEAE,1,0,0,0,1,0
193,Asparagus rubicundus,ASPARAGACEAE,1,0,0,0,0,1
217,Berkheya barbata,ASTERACEAE,1,0,0,0,1,0
219,Berzelia abrotanoides,BRUNIACEAE,1,0,0,0,0,1
227,Berzelia lanuginosa,BRUNIACEAE,0,0,0,0,0,1
233,Bobartia filiformis,IRIDACEAE,1,0,1,0,0,0
234,Bobartia gladiata,IRIDACEAE,1,0,1,0,0,0
235,Bobartia indica,IRIDACEAE,1,0,1,0,0,0
241,Bolusafra bituminosa,FABACEAE,0,0,0,0,0,1
254,Bulbine abyssinica,ASPHODELACEAE,1,0,1,0,0,0
255,Bulbine alooides,ASPHODELACEAE,1,0,1,0,0,0
