,Acacia saligna,Adenandra uniflora,Adenandra villosa,Agapanthus walshii,Agathosma ciliaris,Agathosma hookeri,Agathosma imbricata,Agathosma serpyllacea,Albuca flaccida,Albuca juncifolia,Amphithalea ericifolia,Anaxeton laeve,Anemone knowltonia,Anthochortus capensis,Anthospermum aethiopicum,Anthospermum bergianum,Anthospermum galioides,Apium decumbens,Arctotheca calendula,Aristea africana,Aspalathus callosa,Aspalathus capensis,Aspalathus carnosa,Aspalathus chenopoda,Aspalathus ciliaris,Aspalathus hispida,Aspalathus linguiloba,Aspalathus microphylla,Aspalathus retroflexa,Aspalathus serpens,Asparagus capensis,Asparagus lignosus,Asparagus rubicundus,Babiana ambigua,Babiana villosula,Berkheya barbata,Berzelia abrotanoides,Berzelia lanuginosa,Bobartia gladiata,Bobartia indica,Bolusafra bituminosa,Bulbine abyssinica,Bulbine alooides,Bulbine lagopus,Caesia contorta,Capelio tabularis,Capeochloa cincta,Carpobrotus acinaciformis,Carpobrotus edulis,Cassine peragua,Cassytha ciliolata,Centella macrocarpa,Centella tridentata,Chenolea diffusa,Chironia baccifera,Chironia decumbens,Chironia linoides,Cliffortia atrata,Cliffortia falcata,Cliffortia ferruginea,Cliffortia obcordata,Cliffortia stricta,Cliffortia subsetacea,Clutia alaternoides,Clutia ericoides,Coleonema album,Colpoon compressum,Corymbium africanum,Corymbium glabrum,Cotula coronopifolia,Cotula turbinata,Crassula fascicularis,Crassula nudicaulis,Cymbopogon marginatus,Cynodon dactylon,Dasispermum hispidum,Diastella divaricata,Dilatris pillansii,Diosma hirsuta,Diosma oppositifolia,Diospyros glabra,Disa bracteata,Disa obliqua,Disa purpurascens,Disparago tortilis,Disperis capensis,Drimia capensis,Drosanthemum candens,Drosera aliciae,Drosera trinervia,Edmondia sesamoides,Ehrharta calycina,Ehrharta ramosa,Elegia cuspidata,Elegia filacea,Elegia juncea,Elegia microcarpa,Elegia nuda,Elegia persistens,Elegia stipularis,Elegia vaginulata,Elytropappus scaber,Eragrostis capensis,Erepsia anceps,Erica abietina,Erica axillaris,Erica bruniades,Erica capensis,Erica capillaris,Erica cerinthoides,Erica clavisepala,Erica coccinea,Erica corifolia,Erica eburnea,Erica ericoides,Erica exleeana,Erica glabella,Erica gnaphaloides,Erica hirtiflora,Erica hispidula,Erica imbricata,Erica labialis,Erica laeta,Erica lasciva,Erica mammosa,Erica muscosa,Erica obliqua,Erica palliiflora,Erica plukenetii,Erica pulchella,Erica similis,Erica subcapitata,Erica subdivaricata,Erica tristis,Euclea racemosa,Euphorbia erythrina,Euphorbia genistoides,Euphorbia tuberosa,Euryops abrotanifolius,Exomis microphylla,Felicia tenella,Ficinia brevifolia,Ficinia bulbosa,Ficinia capitella,Ficinia deusta,Ficinia nigrescens,Ficinia nodosa,Ficinia oligantha,Ficinia pinguior,Ficinia rigida,Ficinia stolonifera,Ficinia trichodes,Geissorhiza juncea,Geissorhiza tenella,Geochloa rufa,Gnidia imbricata,Gnidia juniperifolia,Gnidia pinifolia,Gnidia simplex,Haemanthus coccineus,Haplocarpha lanata,Helichrysum dasyanthum,Helichrysum indicum,Helichrysum patulum,Heliophila linearis,Heliophila scoparia,Hyobanche sanguinea,Hypodiscus aristatus,Hypodiscus willdenowia,Ifloga ambigua,Indigofera glomerata,Indigofera ionii,Itasina filifolia,Juncus kraussii,Kedrostis nana,Lachnaea densiflora,Lachnaea grandiflora,Lampranthus austricolus,Lampranthus bicolor,Lampranthus elegans,Lampranthus emarginatus,Lampranthus falciformis,Lampranthus promontorii,Lampranthus tenuifolius,Laurembergia repens,Lebeckia meyeriana,Leucadendron coniferum,Leucadendron laureolum,Leucadendron salignum,Leucadendron xanthoconus,Leucospermum conocarpodendron,Leucospermum hypophyllocarpodendron,Liparia parva,Lobelia comosa,Lobelia coronopifolia,Lobelia pinifolia,Lobelia setacea,Macrostylis villosa,Manulea cheiranthus,Mastersiella digitata,Metalasia brevifolia,Metalasia cephalotes,Metalasia densa,Metalasia muricata,Microdon dubius,Mimetes fimbriifolius,Moraea fugax,Moraea tripetala,Morella quercifolia,Muraltia alopecuroides,Muraltia demissa,Muraltia ericoides,Muraltia pageae,Muraltia rosmarinifolia,Muraltia spinosa,Muraltia thunbergii,Myrsine africana,Nemesia barbata,Olea capensis,Olea exasperata,Osmitopsis asteriscoides,Osteospermum polygaloides,Othonna arborescens,Othonna quinquedentata,Oxalis versicolor,Passerina corymbosa,Pelargonium cucullatum,Pelargonium longifolium,Pelargonium myrrhifolium,Pelargonium triste,Penaea mucronata,Pentameris colorata,Pentameris curvifolia,Pentameris scabra,Petalacte coronata,Phaenocoma prolifera,Pharnaceum elongatum,Phylica ericoides,Phylica imberbis,Platycaulos compressus,Plecostachys serpyllifolia,Polyarrhena reflexa,Polygala bracteolata,Polygala garcinii,Polygala recognita,Prismatocarpus sessilis,Protea acaulos,Protea cynaroides,Protea lepidocarpodendron,Pseudopentameris macrantha,Pseudoselago spuria,Psoralea aphylla,Psoralea pinnata,Pteridium aquilinum,Pterocelastrus tricuspidatus,Rafnia angulata,Restio bifurcus,Restio capensis,Restio cincinnatus,Restio dodii,Restio egregius,Restio filiformis,Restio paludosus,Restio quinquefarius,Restio ramosissimus,Restio sarocladus,Roella amplexicaulis,Roella ciliata,Roella decurrens,Roella prostrata,Roella recurvata,Roella triflora,Roepera spinosa,Ruschia macowanii,Ruschia sarmentosa,Saltera sarcocolla,Satyrium odorum,Schizaea pectinata,Searsia glauca,Searsia laevigata,Searsia lucens,Searsia rosmarinifolia,Searsia tomentosa,Senecio elegans,Senecio umbellatus,Serruria glomerata,Serruria villosa,Soroveta ambigua,Staavia radiata,Staberoha banksii,Staberoha cernua,Staberoha distachyos,Stenotaphrum secundatum,Stilbe ericoides,Stoebe capitata,Stoebe cyathuloides,Stoebe incana,Stoebe plumosa,Struthiola ciliata,Struthiola dodecandra,Stylapterus fruticulosus,Syncarpha speciosissima,Syncarpha vestita,Tetragonia decumbens,Tetragonia fruticosa,Tetraria bromoides,Tetraria compar,Tetraria crassa,Tetraria cuspidata,Tetraria eximia,Tetraria fasciata,Tetraria flexuosa,Tetraria microstachys,Tetraria sylvatica,Tetraria thermalis,Thamnochortus arenarius,Thamnochortus fruticosus,Thamnochortus insignis,Thamnochortus lucens,Thesium acuminatum,Thesium nigromontanum,Thesium pseudovirgatum,Thesium spicatum,Thesium strictum,Thesium virgatum,Thesium viridifolium,Trachyandra hirsutiflora,Trichocephalus stipularis,Tritoniopsis dodii,Ursinia paleacea,Viscum capense,Wachendorfia paniculata,Watsonia meriana,Watsonia tabularis,Willdenowia glomerata,Willdenowia incurvata,Willdenowia teres,Zantedeschia aethiopica
CP_1,0,0,3,0,1,0,0,0,0,0,1,18,0,0,0,0,29,0,0,32,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,5,0,97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,52,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,43,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,47,0,0,0,0,1,0,0,0,0,4,0,0,0,67,0,0,0,0,0,0,7,18,0,0,1,0,0,0,0,0,0,0,69,0,0,0,0,0,278,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0,24,0,0,485,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,32,0,0,0,3,0,0,0,0,0,43,0,0,0,9,0,0,0,0,0,13,0,0,18,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0
CP_10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,26,2,0,0,0,0,0,139,0,0,0,0,0,19,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1030,0,0,0,4,0,0,0,0,0,0,0,1,62,0,0,0,0,0,5,0,1,0,0,0,0,50,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,53,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,488,0,0,0,1,0,0,0,0,0,2,0,0,0,125,0,0,0,0,0,29,0,0,0,0,1,0,0,0,53,0,0,0,0,0,0,102,0,0,0
CP_12,0,0,0,0,0,0,23,4,0,0,0,6,0,0,0,0,9,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,15,0,0,0,0,0,0,198,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,55,0,0,0,7,9,0,19,11,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,79,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,25,1,0,22,0,0,0,0,0,0,0,118,0,0,0,23,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,24,1,0,0,0,62,0,0,4,1,0,0,0,0,0,0,36,0,0,0
CP_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,22,0,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,23,0,0,0,0,58,0,0,0,39,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,116,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,310,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CP_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2,0,0,9,0,68,0,0,0,0,0,19,0,0,0,1,0,0,175,0,0,1,169,0,0,0,261,0,0,0,0,2,0,0,0,217,0,104,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,49,0,0,0,0,0,0,0,0,14,0,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,26,0,0,0,0,8,0,0,0,0,0,1,10,0,0,0,26,0,0,0,0,0,22,0,0,0,6,0,0,0,0,0,33,0,0,0,2,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0
CP_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,31,0,0,89,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,15,3,0,0,38,0,0,11,0,2020,0,0,0,113,0,0,0,0,0,0,0,0,55,0,0,0,0,113,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,66,0,0,0,0,350,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,291,0,0,0,0,0,0,0,4,0,7,25,14,0,7,0,0,0,0,0,6,0,0,0,6,21,0,1,0,0,0,0,0,6,0,0,0,0,0,0
CP_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,167,0,0,0,0,0,0,0,0,0,0,0,104,482,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,6,0,0,0,0,201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,4,0,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_19,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,5,8,2,0,0,0,0,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,85,0,12,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,38,0,0
