,Date,Temp,Rain,Month,Year
1,02/01/1961,21,0,1,1961
2,03/01/1961,20.6,0,1,1961
3,04/01/1961,15,3.5,1,1961
4,05/01/1961,21,0,1,1961
5,06/01/1961,19.8,0.8,1,1961
6,07/01/1961,22,0,1,1961
7,08/01/1961,22.2,2,1,1961
8,09/01/1961,22.6,0,1,1961
9,10/01/1961,21,0,1,1961
10,11/01/1961,20.4,0,1,1961
11,12/01/1961,24,0,1,1961
12,13/01/1961,21.4,0,1,1961
13,14/01/1961,18.4,0,1,1961
14,15/01/1961,16.8,0,1,1961
15,16/01/1961,21,0,1,1961
16,17/01/1961,21.8,0,1,1961
17,18/01/1961,20.2,0,1,1961
18,19/01/1961,15.4,4.5,1,1961
19,20/01/1961,22.2,0,1,1961
20,21/01/1961,20,0,1,1961
21,22/01/1961,21.6,0,1,1961
22,23/01/1961,20.6,0,1,1961
23,24/01/1961,18.8,0,1,1961
24,25/01/1961,21.4,0,1,1961
25,26/01/1961,21.2,0.2,1,1961
26,27/01/1961,15.6,17,1,1961
27,28/01/1961,13,16.5,1,1961
28,29/01/1961,17.2,0.2,1,1961
29,30/01/1961,19.8,0,1,1961
30,31/01/1961,18.8,0,1,1961
31,01/02/1961,19.8,0,2,1961
32,02/02/1961,20,0,2,1961
33,03/02/1961,20,0,2,1961
34,04/02/1961,19.8,0,2,1961
35,05/02/1961,23.2,0,2,1961
36,06/02/1961,17.8,0,2,1961
37,07/02/1961,22.4,0,2,1961
38,08/02/1961,25.6,0,2,1961
39,09/02/1961,21,2,2,1961
40,10/02/1961,16.6,1.2,2,1961
41,11/02/1961,19.4,0,2,1961
42,12/02/1961,18.8,0,2,1961
43,13/02/1961,18.4,0,2,1961
44,14/02/1961,18.2,0,2,1961
45,15/02/1961,20.4,0,2,1961
46,16/02/1961,25.8,0,2,1961
47,17/02/1961,25,0,2,1961
48,18/02/1961,21.2,0,2,1961
49,19/02/1961,22,0,2,1961
50,20/02/1961,21.6,0,2,1961
51,21/02/1961,20,0,2,1961
52,22/02/1961,20.8,0,2,1961
53,23/02/1961,21.4,0,2,1961
54,24/02/1961,21,2.5,2,1961
55,25/02/1961,19.2,0,2,1961
56,26/02/1961,20.8,0,2,1961
57,27/02/1961,20.4,0,2,1961
58,28/02/1961,23.4,0,2,1961
59,01/03/1961,21.2,0,3,1961
60,02/03/1961,22.6,0,3,1961
61,03/03/1961,21.4,0,3,1961
62,04/03/1961,19.8,0,3,1961
63,05/03/1961,21.6,0,3,1961
64,06/03/1961,21.4,0,3,1961
65,07/03/1961,20.2,0,3,1961
